title,Year,Month,Route,Activity,Details,Count
MED0852,2021,November,,,Deaths recorded in Eastern Med,6
MED0851,2021,November,,,Deaths recorded in Central Med,88
MED0850,2021,November,,,Deaths recorded in Western Med,7
MED0849,2021,November,,,Interceptions by Turkish Coast Guard,3592
MED0848,2021,November,,,Interceptions by Tunisian Coast Guard,0
MED0847,2021,November,,,Interceptions by Libyan Coast Guard,3439
MED0846,2021,November,,,Arrivals in Cyprus,0
MED0845,2021,November,,,Sea arrivals in Greece,516
MED0844,2021,November,,,Sea arrivals in Malta,0
MED0843,2021,November,,,Sea arrivals in Italy,9517
MED0842,2021,November,,,Land arrivals in Spain,293
MED0841,2021,November,,,Sea arrivals in Spain,628
MED0840,2021,October,,,Deaths recorded in Eastern Med,5
MED0839,2021,October,,,Deaths recorded in Central Med,85
MED0838,2021,October,,,Deaths recorded in Western Med,48
MED0837,2021,October,,,Interceptions by Turkish Coast Guard,2670
MED0836,2021,October,,,Interceptions by Tunisian Coast Guard,0
MED0835,2021,October,,,Interceptions by Libyan Coast Guard,2123
MED0834,2021,October,,,Arrivals in Cyprus,2084
MED0833,2021,October,,,Sea arrivals in Greece,719
MED0832,2021,October,,,Sea arrivals in Malta,49
MED0831,2021,October,,,Sea arrivals in Italy,7110
MED0830,2021,October,,,Land arrivals in Spain,25
MED0829,2021,October,,,Sea arrivals in Spain,1868
MED0828,2021,September,,,Deaths recorded in Eastern Med,2
MED0827,2021,September,,,Deaths recorded in Central Med,12
MED0826,2021,September,,,Deaths recorded in Western Med,25
MED0825,2021,September,,,Interceptions by Turkish Coast Guard,3682
MED0824,2021,September,,,Interceptions by Tunisian Coast Guard,3199
MED0823,2021,September,,,Interceptions by Libyan Coast Guard,1846
MED0822,2021,September,,,Arrivals in Cyprus,1022
MED0821,2021,September,,,Sea arrivals in Greece,280
MED0820,2021,September,,,Sea arrivals in Malta,143
MED0819,2021,September,,,Sea arrivals in Italy,6919
MED0818,2021,September,,,Land arrivals in Spain,39
MED0817,2021,September,,,Sea arrivals in Spain,4192
MED0816,2021,August,,,Deaths recorded in Eastern Med,0
MED0815,2021,August,,,Deaths recorded in Central Med,96
MED0814,2021,August,,,Deaths recorded in Western Med,34
MED0813,2021,August,,,Interceptions by Turkish Coast Guard,2444
MED0812,2021,August,,,Interceptions by Tunisian Coast Guard,5582
MED0811,2021,August,,,Interceptions by Libyan Coast Guard,4189
MED0810,2021,August,,,Arrivals in Cyprus,598
MED0809,2021,August,,,Sea arrivals in Greece,538
MED0808,2021,August,,,Sea arrivals in Malta,139
MED0807,2021,August,,,Sea arrivals in Italy,10286
MED0806,2021,August,,,Land arrivals in Spain,100
MED0805,2021,August,,,Sea arrivals in Spain,2040
MED0804,2021,July,,,Deaths recorded in Eastern Med,11
MED0803,2021,July,,,Deaths recorded in Central Med,263
MED0802,2021,July,,,Deaths recorded in Western Med,37
MED0801,2021,July,,,Interceptions by Turkish Coast Guard,1736
MED0800,2021,July,,,Interceptions by Tunisian Coast Guard,2993
MED0799,2021,July,,,Interceptions by Libyan Coast Guard,4059
MED0798,2021,July,,,Arrivals in Cyprus,583
MED0797,2021,July,,,Sea arrivals in Greece,148
MED0796,2021,July,,,Sea arrivals in Malta,81
MED0795,2021,July,,,Sea arrivals in Italy,8605
MED0794,2021,July,,,Land arrivals in Spain,477
MED0793,2021,July,,,Sea arrivals in Spain,2116
MED0792,2021,June,,,Deaths recorded in Eastern Med,0
MED0791,2021,June,,,Deaths recorded in Central Med,94
MED0790,2021,June,,,Deaths recorded in Western Med,19
MED0789,2021,June,,,Interceptions by Turkish Coast Guard,1651
MED0788,2021,June,,,Interceptions by Tunisian Coast Guard,2027
MED0787,2021,June,,,Interceptions by Libyan Coast Guard,4915
MED0786,2021,June,,,Arrivals in Cyprus,763
MED0785,2021,June,,,Sea arrivals in Greece,74
MED0784,2021,June,,,Sea arrivals in Malta,103
MED0783,2021,June,,,Sea arrivals in Italy,5840
MED0782,2021,June,,,Land arrivals in Spain,0
MED0781,2021,June,,,Sea arrivals in Spain,1204
MED0780,2021,May,,,Deaths recorded in Eastern Med,0
MED0779,2021,May,,,Deaths recorded in Central Med,157
MED0778,2021,May,,,Deaths recorded in Western Med,37
MED0777,2021,May,,,Interceptions by Turkish Coast Guard,862
MED0776,2021,May,,,Interceptions by Tunisian Coast Guard,2487
MED0775,2021,May,,,Interceptions by Libyan Coast Guard,3599
